id,acronym,name,organization,organization_group,event_type,topics,categories,location,mode,edition,indexing,event_start,event_end,abstract_due,paper_due,notification,camera_ready,first_deadline,first_gate,deadline_timezone,confidence,source_basis,source_url,previous_cycle_edition,previous_cycle_closed
sovereign-ai-cloud-day-eu-2027,Sovereign AI+Cloud Day EU,Open Sovereign AI + Cloud Day Europe 2027 (KubeCon EU co-located),Linux Foundation / CNCF,Linux Foundation,Open-source meetup,Sovereign cloud|AI infrastructure,Systems & cloud|AI & machine learning|Open source & community,"Barcelona, Spain",In person,2027,,2027-03-15,2027-03-15,,2026-10-18,,,2026-10-18,Paper,See source,announced,Published via a secondary index,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/open-sovereign-ai-cloud-day/,,
platform-eng-day-eu-2027,Platform Eng Day EU,Platform Engineering Day Europe 2027 (KubeCon EU co-located),Linux Foundation / CNCF,Linux Foundation,Open-source meetup,Platform engineering,Open source & community,"Barcelona, Spain",In person,2027,,2027-03-15,2027-03-15,,2026-10-18,,,2026-10-18,Paper,See source,announced,Published via a secondary index,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/,,
conf42-mlops-2026,Conf42 MLOps,Conf42 MLOps 2026,Conf42,Other,Industry conference,MLOps|ML systems (online),Systems & cloud|AI & machine learning,Online,Online,2026,,2026-11-19,2026-11-19,,2026-10-19,,,2026-10-19,Paper,See source,verified,Primary venue page,https://www.papercall.io/conf42-mlops-2026,,
pdp-35th-2027,PDP,"Euromicro International Conference on Parallel, Distributed and Network-Based Processing",IEEE CPS (Euromicro),IEEE,Academic conference,Parallel and distributed computing,Systems & cloud|Networking,"Barcelona, Spain (UPC)",In person,"35th, 2027",Scopus/DBLP/IEEE Xplore,2027-03-17,2027-03-19,2026-10-19,2026-10-26,2026-12-07,2027-01-25,2026-10-19,Abstract,See source,verified,Primary venue page,https://research.ac.upc.edu/PDP2027/index.html,,
saner-industrial-2027-34th,SANER Industrial,"IEEE SANER 2027 Industrial Track (also Agentic AI4SE, ERA, RENE, Tool Demo tracks on the same dates)",IEEE,IEEE,Academic conference,Software engineering,Software engineering,"Richmond, VA, USA",In person,2027 (34th),"IEEE Xplore, Scopus, DBLP, EI",2027-03-09,2027-03-12,2026-10-19,2026-10-23,2026-12-08,2027-01-08,2026-10-19,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/dates/saner-2027,,
techdebt-2027,TechDebt,Intl Conference on Technical Debt (co-located ICSE 2027),IEEE/ACM,IEEE / ACM,Academic conference,Software engineering,Software engineering,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-25,2027-04-26,2026-10-19,2026-10-26,,,2026-10-19,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/home/TechDebt-2027,,
msr-2027,MSR,IEEE/ACM International Conference on Mining Software Repositories,IEEE/ACM,IEEE / ACM,Academic conference,Software Engineering,Software engineering,"Dublin, Ireland (with ICSE)",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-04-26,2027-04-27,2026-10-20,2026-10-23,2027-01-08,,2026-10-20,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/home/msr-2027,,
icse-seip-2027,ICSE-SEIP,ICSE 2027 Software Engineering in Practice,IEEE/ACM,IEEE / ACM,Academic conference,Software engineering (industry),Software engineering,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-25,2027-05-01,,2026-10-23,2026-12-11,2027-01-20,2026-10-23,Paper,See source,verified,Primary venue page,https://conf.researchr.org/track/icse-2027/icse-2027-seip,,
seams-22nd-2027,SEAMS,Intl Conference on Software Engineering for Adaptive and Self-Managing Systems,IEEE/ACM,IEEE / ACM,Academic conference,Self-adaptive systems,Systems & cloud|Software engineering,"Dublin, Ireland",In person,22nd (2027),"IEEE Xplore, DBLP, Scopus",2027-04-26,2027-04-27,,2026-10-23,2026-12-03,2027-01-29,2026-10-23,Paper,See source,verified,Primary venue page,https://conf.researchr.org/home/seams-2027,,
jcon-europe-2027,JCON Europe,JCON EUROPE 2027,JAVAPRO / JCON,Other,Industry conference,Java|cloud|architecture,Systems & cloud|Architecture & hardware|Programming languages,"Cologne, Germany",In person,2027,,2027-04-26,2027-04-29,,2026-10-23,,,2026-10-23,Paper,See source,verified,Primary venue page,https://sessionize.com/jcon-europe-2027,,
voxxed-cern-2027,Voxxed CERN,Voxxed Days CERN 2027,Voxxed Days Switzerland,Other,Industry conference,General developer|JVM|cloud,Systems & cloud,"Geneva (CERN), Switzerland",In person,2027,,2027-03-05,2027-03-05,,2026-10-23,,,2026-10-23,Paper,See source,announced,Published via a secondary index,https://vdcern27.cfp.dev/,,
voxxed-zurich-2027,Voxxed Zurich,Voxxed Days Zurich 2027,Voxxed Days Switzerland,Other,Industry conference,General developer|JVM|cloud,Systems & cloud,"Zurich, Switzerland",In person,2027,,2027-03-09,2027-03-09,,2026-10-23,,,2026-10-23,Paper,See source,announced,Published via a secondary index,https://vdz27.cfp.dev/,,
forge-2027,FORGE,ACM/IEEE International Conference on AI Foundation Models and Software Engineering,ACM/IEEE,IEEE / ACM,Academic conference,AI Engineering,AI & machine learning|Software engineering,"Dublin, Ireland (with ICSE)",In person,2027,"Scopus, DBLP, Scholar",2027-04-26,2027-04-27,2026-10-25,2026-10-30,2027-01-04,2027-01-25,2026-10-25,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/home/forge-2027,,
privacy-symposium-2027,Privacy Symposium,"Privacy Symposium 2027 - Intl Conf. on Data Governance, Regulatory Compliance and Innovative Technologies",Springer,Springer,Academic conference,Privacy|data protection,Data & databases|Security & privacy,"Venice, Italy (Ca' Foscari University)",In person,2027,"Scopus, DBLP",2027-04-26,2027-04-30,,2026-10-25,2027-01-19,2027-02-10,2026-10-25,Paper,See source,verified,Primary venue page,https://privacysymposium.org/call-for-papers/,,
facct-2027,FAccT,"ACM Conference on Fairness, Accountability, and Transparency",ACM,ACM,Academic conference,Responsible AI|data governance,Data & databases|AI & machine learning,TBA,TBA,2027,"ACM DL, DBLP, Scopus",2027-06-21,2027-06-24,2026-10-27,2026-11-03,2026-12-22,,2026-10-27,Abstract,See source,verified,Primary venue page,https://facctconference.org/2027/cfp.html,,
icpc-2027,ICPC,IEEE/ACM Intl Conference on Program Comprehension,IEEE/ACM,IEEE / ACM,Academic conference,Software engineering,Software engineering,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-25,2027-04-26,2026-10-29,2026-11-05,2027-01-14,,2026-10-29,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/home/icpc-2027,,
dmesa-2026,DMESA,Workshop on Data and Model Efficiency for Scalable AI (at IEEE BigData),IEEE Computer Society (IEEE BigData 2026 proceedings),IEEE,Academic conference,ML systems efficiency,Data & databases|Systems & cloud|AI & machine learning,"Phoenix, AZ, USA",In person,2026,"IEEE Xplore, Scopus, DBLP, EI",2026-12-14,2026-12-17,,2026-10-29,2026-11-16,2026-11-23,2026-10-29,Paper,See source,verified,Primary venue page,https://efficientaiworkshop.github.io/,,
sacmat-32nd-2027,SACMAT,ACM Symposium on Access Control Models and Technologies,ACM,ACM,Academic conference,Data security|access control,Data & databases|Security & privacy,"Durham, UK",In person,32nd (2027),"ACM DL, DBLP, Scopus",2027-07-19,2027-07-21,,2026-10-30,2026-12-21,2027-05-03,2026-10-30,Paper,See source,verified,Primary venue page,https://www.sacmat.org/2027/call-for-papers.php,,
mlsys-2027,MLSys,Conference on Machine Learning and Systems,MLSys,Other,Academic conference,ML Systems,Systems & cloud|AI & machine learning,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,,2026-10-30,2027-02-28,,2026-10-30,Paper,PDT,verified,Primary venue page,https://mlsys.org/Conferences/2027/Dates,,
icsa-saip-2027-24th,ICSA SAIP,"IEEE ICSA 2027 Software Architecture in Practice track (plus New and Emerging Ideas, Showcase, Posters on 20 Dec 2026)",IEEE,IEEE,Academic conference,Software architecture,Architecture & hardware,"Sydney, Australia",In person,2027 (24th),"IEEE Xplore, Scopus, DBLP, EI",2027-03-08,,2026-10-30,2026-11-04,2026-12-15,,2026-10-30,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/dates/icsa-2027,,
icsa-2027,ICSA,IEEE International Conference on Software Architecture,IEEE,IEEE,Academic conference,Software Architecture,Architecture & hardware,"Sydney, Australia",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-03-08,2027-03-12,2026-10-30,2026-11-04,2026-12-15,,2026-10-30,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/home/icsa-2027,,
cain-2027,CAIN,IEEE/ACM International Conference on AI Engineering — Software Engineering for AI,IEEE/ACM,IEEE / ACM,Academic conference,AI Engineering,AI & machine learning|Software engineering,"Dublin, Ireland (with ICSE)",In person,2027,"Scopus, IEEE Xplore, Scholar",,,,2026-10-30,2027-01-11,2027-01-29,2026-10-30,Paper,See source,verified,Primary venue page,https://conf.researchr.org/home/cain-2027,,
iwbdr-2026,IWBDR,International Workshop on Big Data Reduction (at IEEE BigData),IEEE Computer Society (IEEE BigData 2026 proceedings),IEEE,Academic conference,Storage|data reduction|HPC,Data & databases|Systems & cloud,"Phoenix, AZ, USA",In person,2026,"IEEE Xplore, Scopus, DBLP, EI",2026-12-14,2026-12-17,,2026-10-30,2026-11-13,2026-11-20,2026-10-30,Paper,See source,verified,Primary venue page,https://mercury-hpg.github.io/IWBDR-6/,,
ast-2027,AST,Intl Conference on Automation of Software Test (co-located ICSE 2027),IEEE/ACM,IEEE / ACM,Academic conference,Software testing,Software engineering,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-26,2027-04-27,,2026-10-30,2027-01-08,2027-01-29,2026-10-30,Paper,See source,verified,Primary venue page,https://conf.researchr.org/home/ast-2027,,
mlsys-industrial-10th-2027,MLSys Industrial,MLSys 2027 - industrial track papers (same call as research papers),MLSys Proceedings,Other,Academic conference,ML systems,Systems & cloud|AI & machine learning,TBA,TBA,"10th, 2027",DBLP,,,,2026-10-30,2027-02-28,,2026-10-30,Paper,See source,verified,Primary venue page,https://mlsys.org/Conferences/2027/CallForResearchPapers,,
monster-scale-2027,Monster Scale,Monster Scale Summit,ScyllaDB,Other,Summit,Distributed Systems,Systems & cloud,Virtual,Online,2027,,2027-03-10,2027-03-11,,2026-10-30,,,2026-10-30,Paper,PDT,verified,Primary venue page,https://sessionize.com/monster-scale-summit-2027,,
wsdm-industry-day-2027,WSDM Industry Day,WSDM 2027 Industry Day Talks,ACM,ACM,Academic conference,Data mining|search (industry),Data & databases,Hong Kong,In person,2027,"ACM DL, DBLP, Scopus",2027-02-15,2027-02-15,,2026-10-30,2026-11-27,2026-12-10,2026-10-30,Paper,See source,verified,Primary venue page,https://wsdm-conference.org/2027/cfidt.html,,
google-cloud-next-2027,Google Cloud Next,Google Cloud Next,Google,Other,Industry conference,Cloud,Systems & cloud,"Las Vegas, NV, USA",In person,2027,,2027-04-13,2027-04-15,,2026-10-31,,,2026-10-31,Paper,See source,projected,Historical cadence projection,https://cloud.withgoogle.com/next,,
page-2027,PAgE,Principles of Agentic Engineering workshop @ POPL 2027,none (not in ACM DL),ACM,Academic conference,Agentic AI|formal methods,AI & machine learning,"Mexico City, Mexico",In person,2027,,2027-01-10,2027-01-16,,2026-10-31,,,2026-10-31,Paper,AoE,verified,Primary venue page,https://popl27.sigplan.org/home/page-2027,,
devopsdays-la-2027,DevOpsDays LA,DevOpsDays Los Angeles 2027,devopsdays.org,Other,Industry conference,DevOps|SRE,Software engineering,"Pasadena, CA, USA",In person,2027,,2027-04-02,2027-04-02,,2026-11-01,,,2026-11-01,Paper,See source,verified,Primary venue page,https://devopsdays.org/speaking/,,
icde-demo-2027-43rd,ICDE Demo,IEEE ICDE Demonstrations Track,IEEE,IEEE,Academic conference,Databases|data engineering,Data & databases,"Copenhagen, Denmark",In person,2027 (43rd),"IEEE Xplore, Scopus, DBLP, EI",2027-05-17,2027-05-21,,2026-11-01,,,2026-11-01,Paper,See source,projected,Historical cadence projection,https://icde2027.github.io/important-dates.html,,
agentverify-2027,AGENTVERIFY,Infrastructure for Trustworthy Software Agents (ICSE 2027 workshop),IEEE/ACM,IEEE / ACM,Academic conference,Agentic AI systems,Systems & cloud|AI & machine learning,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-25,2027-05-01,2026-11-01,2026-11-06,2026-12-11,2027-01-29,2026-11-01,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/home/icse-2027/agentverify-2027,,
scale-24x-2027,SCaLE,SCaLE 24x - Southern California Linux Expo,"SCALE (community, non-profit)",Other,Open-source meetup,"Open source, systems, databases, AI",Data & databases|Systems & cloud|AI & machine learning|Open source & community,"Pasadena, CA, USA",In person,24x (2027),,2027-04-01,2027-04-04,,2026-11-01,2026-12-01,,2026-11-01,Paper,See source,verified,Primary venue page,https://www.socallinuxexpo.org/scale/24x/cfp,,
icde-deft-2027-43rd,ICDE DEFT,IEEE ICDE Data Engineering Future Technologies Track,IEEE,IEEE,Academic conference,Databases|data engineering,Data & databases,"Copenhagen, Denmark",In person,2027 (43rd),"IEEE Xplore, Scopus, DBLP, EI",2027-05-17,2027-05-21,2026-11-02,2026-11-09,,,2026-11-02,Abstract,See source,projected,Historical cadence projection,https://icde2027.github.io/important-dates.html,,
icst-2027,ICST,"IEEE International Conference on Software Testing, Verification and Validation",IEEE,IEEE,Academic conference,Software Testing,Software engineering,"San Sebastian, Spain",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-05-17,2027-05-21,,2026-11-02,2026-12-22,2027-03-18,2026-11-02,Paper,See source,verified,Primary venue page,https://conf.researchr.org/dates/icst-2027,,
pacificvis-pacificvis-2027-20th,PacificVis,IEEE Pacific Visualization Conference (conference papers track),IEEE,IEEE,Academic conference,Visualization,Other,"Busan, South Korea",In person,PacificVis 2027 (20th),"IEEE Xplore, DBLP, Scopus",2027-04-19,2027-04-22,2026-11-02,2026-11-09,2026-12-16,2027-02-08,2026-11-02,Abstract,See source,verified,Primary venue page,https://pacificvis2027.github.io/contribute/conference-papers/,,
analytics-and-data-summit-2027,Analytics and Data Summit,Analytics and Data Summit 2027,Analytics and Data Oracle User Community (AnDOUC),Other,Summit,"Oracle analytics, lakehouse, AI",Data & databases|AI & machine learning,"Redwood Shores, California, USA",In person,2027,,2027-04-13,2027-04-15,,2026-11-07,,,2026-11-07,Paper,PST,verified,Primary venue page,https://sessionize.com/analytics-and-data-summit-2027,,
cern-pgday-2027,CERN PGDay,CERN PGDay 2027,Swiss PostgreSQL Users Group (SwissPUG) and CERN,Other,Open-source meetup,PostgreSQL,Open source & community,"CERN, Geneva, Switzerland",In person,2027,,2027-02-12,2027-02-12,,2026-11-08,,,2026-11-08,Paper,CET,verified,Primary venue page,https://www.postgresql.org/about/news/cern-pgday-2027-announcement-and-cfp-3375/,,
devconf-in-2027,DevConf.IN,DevConf.IN 2027,Red Hat (community),Other,Open-source meetup,Open source developer conference,Open source & community,"Pune, India (MIT WPU)",In person,2027,,2027-02-26,2027-02-27,,2026-11-08,,,2026-11-08,Paper,See source,verified,Primary venue page,https://www.devconf.info/in/,,
iapp-canada-2027,IAPP Canada,IAPP Canada Symposium 2027,IAPP,Other,Industry conference,Privacy|AI governance,AI & machine learning|Security & privacy,"Toronto, Canada",In person,2027,,2027-05-25,2027-05-28,,2026-11-08,,,2026-11-08,Paper,EST,verified,Primary venue page,https://iapp.org/conferences/speak-at-an-iapp-conference,,
icpe-2027,ICPE,ACM/SPEC International Conference on Performance Engineering,ACM/SPEC,ACM,Academic conference,Performance,Systems & cloud,"Gothenburg, Sweden",In person,2027,"Scopus, DBLP, Scholar",2027-05-24,2027-05-28,2026-11-09,2026-11-16,2027-01-25,2027-03-12,2026-11-09,Abstract,AoE,verified,Primary venue page,https://icpe2027.spec.org/important-dates/,,
www-short-demo-2027,WWW Short/Demo,"The Web Conference 2027 Short Papers, Demo and Web4Good tracks",ACM,ACM,Academic conference,Web|data,Data & databases,"Dublin, Ireland",In person,2027,"ACM DL, DBLP, Scopus",2027-05-10,2027-05-14,2026-11-09,2026-11-16,2027-01-04,2027-01-31,2026-11-09,Abstract,See source,verified,Primary venue page,https://www2027.thewebconf.org/important-dates/,,
ieee-s-p-2027,IEEE S&P,IEEE Symposium on Security and Privacy,IEEE,IEEE,Academic conference,Security|Privacy,Security & privacy,"Montreal, Canada",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-05-17,2027-05-20,2026-11-10,2026-11-17,2027-03-05,2027-04-08,2026-11-10,Abstract,AoE,verified,Primary venue page,https://sp2027.ieee-security.org/cfpapers.html,,
cvpr-2027,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,IEEE/CVF,IEEE,Academic conference,Computer Vision,"AI & machine learning|Graphics, vision & XR","Seattle, WA, USA",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-06-20,2027-06-25,2026-11-10,2026-11-16,2027-02-25,,2026-11-10,Abstract,AoE,verified,Primary venue page,https://cvpr.thecvf.com/Conferences/2027/Dates,,
icde-2027,ICDE,IEEE International Conference on Data Engineering,IEEE,IEEE,Academic conference,Databases,Data & databases,"Copenhagen, Denmark",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-05-17,2027-05-21,,2026-11-11,2027-02-10,2027-03-10,2026-11-11,Paper,UTC-7,verified,Primary venue page,https://icde2027.github.io/,,
pldi-2027,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,ACM,ACM,Academic conference,Programming Languages,Programming languages,"Atlanta, GA, USA",In person,2027,"Scopus, DBLP, Scholar",2027-06-05,2027-06-11,,2026-11-12,2027-03-04,,2026-11-12,Paper,See source,verified,Primary venue page,https://pldi27.sigplan.org/dates,,
icse-industry-challenge-2027,ICSE Industry Challenge,ICSE 2027 Industry Challenge (solution papers),IEEE/ACM,IEEE / ACM,Academic conference,Software engineering (industry),Software engineering,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-25,2027-05-01,,2026-11-13,2026-12-18,2027-01-29,2026-11-13,Paper,See source,verified,Primary venue page,https://conf.researchr.org/track/icse-2027/icse-2027-industry-challenge,,
caise-2027,CAiSE,International Conference on Advanced Information Systems Engineering,Springer,Springer,Academic conference,Information Systems,Systems & cloud,"Seville, Spain",In person,2027,"Scopus, DBLP, Scholar",2027-06-07,2027-06-11,2026-11-13,2026-11-27,,,2026-11-13,Abstract,See source,projected,Historical cadence projection,https://caise26.polimi.it/,,
agent-2027,AGENT,Workshop on Agentic Engineering (ICSE 2027),IEEE,IEEE,Academic conference,Agentic AI systems,Systems & cloud|AI & machine learning,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-25,2027-05-01,,2026-11-13,2026-12-11,2027-01-29,2026-11-13,Paper,See source,verified,Primary venue page,https://conf.researchr.org/home/icse-2027/agent-2027,,
aiperf-2027,AIPerf,Workshop on AI for Software Performance and Performance Engineering for AI Systems (ICSE 2027),IEEE,IEEE,Academic conference,Performance engineering|AI systems,Systems & cloud|AI & machine learning,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-25,2027-05-01,,2026-11-13,2026-12-11,2027-01-29,2026-11-13,Paper,See source,verified,Primary venue page,https://conf.researchr.org/home/icse-2027/aiperf-2027,,
greens-2027,GREENS,Workshop on Green and Sustainable Software (ICSE 2027),IEEE,IEEE,Academic conference,Sustainable computing,Other,"Dublin, Ireland",In person,2027,"IEEE Xplore, DBLP, Scopus",2027-04-27,2027-04-27,,2026-11-13,2026-12-11,2027-01-29,2026-11-13,Paper,See source,verified,Primary venue page,https://conf.researchr.org/home/icse-2027/greens-2027,,
icde-lightning-2027-43rd,ICDE Lightning,IEEE ICDE Lightning Talks,IEEE,IEEE,Academic conference,Databases|data engineering,Data & databases,"Copenhagen, Denmark",In person,2027 (43rd),"IEEE Xplore, Scopus, DBLP, EI",2027-05-17,2027-05-21,2026-11-14,2026-11-14,,,2026-11-14,Abstract,See source,projected,Historical cadence projection,https://icde2027.github.io/cf-lightning-talks.html,,
p2d2-2027-19th,P2D2,Prague PostgreSQL Developer Day 2027,CSPUG (Czech and Slovak PostgreSQL Users Group),Other,Open-source meetup,PostgreSQL,Open source & community,"Prague, Czechia",In person,2027 (19th),,,,,2026-11-14,,,2026-11-14,Paper,See source,projected,Historical cadence projection,https://p2d2.cz/en/,,
cpdp-cpdp-2027-20th,CPDP,"Computers, Privacy and Data Protection (call for papers)",Hart / Bloomsbury (conference book),Other,Academic conference,Privacy|data protection law and policy,Data & databases|Security & privacy,"Brussels, Belgium",In person,CPDP 2027 (20th),,2027-03-08,2027-03-11,,2026-11-15,2027-01-18,,2026-11-15,Paper,See source,verified,Primary venue page,https://www.cpdpconferences.org/call-for-papers-2027,,
data-day-texas-2027,Data Day Texas,Data Day Texas,Global Data Geeks,Other,Industry conference,Data Engineering,Data & databases,"Austin, TX, USA",In person,2027,,,,,2026-11-15,,,2026-11-15,Paper,See source,projected,Historical cadence projection,https://datadaytexas.com/,,
datatune-2027,DataTune,DataTune 2027,"DataTune (community, volunteer-led)",Other,Open-source meetup,"Data engineering, analytics, data science|AI",Data & databases|AI & machine learning|Open source & community,"Belmont University, Nashville, Tennessee, USA",In person,2027,,2027-03-12,2027-03-13,,2026-11-15,,,2026-11-15,Paper,See source,verified,Primary venue page,https://sessionize.com/datatune-2027/,,
duckcon-2027,DuckCon,DuckCon (DuckDB User Group),DuckDB Labs,Other,Industry conference,Query Engines,Data & databases,TBA,TBA,2027,,,,,2026-11-15,,,2026-11-15,Paper,See source,projected,Historical cadence projection,https://duckdb.org/events,,
pakdd-2027,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,Springer,Academic conference,Data Mining,Data & databases,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,,2026-11-15,,,2026-11-15,Paper,See source,projected,Historical cadence projection,https://pakdd.org/,,
tokioconf-2027,TokioConf,TokioConf,Tokio,Other,Open-source meetup,Rust|Async,Programming languages|Open source & community,"Portland, OR, USA",In person,2027,,,,,2026-11-15,,,2026-11-15,Paper,See source,projected,Historical cadence projection,https://tokioconf.com/,,
dataengbytes-2027,DataEngBytes,DataEngBytes 2027 (Brisbane + Auckland pair),DataEngBytes (community),Other,Open-source meetup,Data engineering,Data & databases|Open source & community,"Brisbane, Australia (16 Mar) and Auckland, New Zealand (19 Mar)",In person,2027,,2027-03-16,2027-03-19,,2026-11-17,2026-12-19,,2026-11-17,Paper,See source,verified,Primary venue page,https://dataengbytes.com/forms/conference-talk,,
closer-2027,CLOSER,International Conference on Cloud Computing and Services Science,SCITEPRESS,SCITEPRESS,Academic conference,Cloud,Systems & cloud,"Rome, Italy",In person,2027,"Scopus, DBLP",2027-04-17,2027-04-19,,2026-11-17,2027-01-15,,2026-11-17,Paper,AoE,verified,Primary venue page,https://closer.scitevents.org/ImportantDates.aspx,,
iceis-2027,ICEIS,International Conference on Enterprise Information Systems,SCITEPRESS,SCITEPRESS,Academic conference,Information Systems,Systems & cloud,"Rome, Italy",In person,2027,"Scopus, DBLP",2027-04-20,2027-04-22,,2026-11-17,2027-01-15,,2026-11-17,Paper,AoE,verified,Primary venue page,https://iceis.scitevents.org/ImportantDates.aspx,,
enase-2027,ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,SCITEPRESS,SCITEPRESS,Academic conference,Software Engineering,Software engineering,"Rome, Italy",In person,2027,"Scopus, DBLP",2027-04-20,2027-04-22,,2026-11-17,2027-01-15,,2026-11-17,Paper,AoE,verified,Primary venue page,https://enase.scitevents.org/ImportantDates.aspx,,
iotbds-2027,IoTBDS,"International Conference on Internet of Things, Big Data and Security",SCITEPRESS,SCITEPRESS,Academic conference,Big Data,Data & databases|Security & privacy|Networking,"Rome, Italy",In person,2027,"Scopus, DBLP",2027-04-18,2027-04-20,,2026-11-17,2027-01-15,,2026-11-17,Paper,AoE,verified,Primary venue page,https://iotbds.scitevents.org/ImportantDates.aspx,,
smartgreens-smartgreens-2027-16th,SMARTGREENS,International Conference on Smart Cities and Green ICT Systems,SCITEPRESS,SCITEPRESS,Academic conference,Green ICT|energy-aware computing,Systems & cloud,"Rome, Italy",In person,SMARTGREENS 2027 (16th),"Scopus, DBLP, EI, WoS CPCI, Google Scholar (submitted for indexing)",2027-04-16,2027-04-17,,2026-11-17,2027-01-15,2027-01-27,2026-11-17,Paper,See source,verified,Primary venue page,https://smartgreens.scitevents.org/ImportantDates.aspx,,
wsdm-short-2027,WSDM Short,WSDM 2027 Short Papers,ACM,ACM,Academic conference,Data mining|search,Data & databases,Hong Kong,In person,2027,"ACM DL, DBLP, Scopus",2027-02-15,2027-02-19,,2026-11-17,2026-12-18,,2026-11-17,Paper,See source,verified,Primary venue page,https://wsdm-conference.org/2027/cfsp.html,,
dac-2027,DAC,ACM/IEEE Design Automation Conference,ACM/IEEE,IEEE / ACM,Academic conference,Design Automation,Other,"San Jose, CA, USA",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-07-11,2027-07-14,,2026-11-18,2027-03-08,2027-03-31,2026-11-18,Paper,See source,verified,Primary venue page,https://dac.com/2027/program/research-manuscript-submissions,,
isca-2027,ISCA,ACM/IEEE International Symposium on Computer Architecture,ACM/IEEE,IEEE / ACM,Academic conference,Computer Architecture,Architecture & hardware,"Atlanta, GA, USA (FCRC)",In person,2027,"Scopus, DBLP, Scholar",2027-06-05,2027-06-09,2026-11-19,2026-11-26,,,2026-11-19,Abstract,See source,announced,Published via a secondary index,https://iscaconf.org/,,
ecoop-2027,ECOOP,European Conference on Object-Oriented Programming,LIPIcs,Other,Academic conference,Programming Languages,Programming languages,"Turin, Italy",In person,2027,"Scopus, DBLP, Scholar",2027-06-28,2027-07-02,,2026-11-19,2027-01-28,,2026-11-19,Paper,See source,verified,Primary venue page,https://2027.ecoop.org/dates,,
ocx-2027,OCX,Open Community Experience (OCX) 2027,Eclipse Foundation,Other,Open-source meetup,Open source developer conference,Open source & community,"Brussels, Belgium (Tour & Taxis)",In person,2027,,2027-04-13,2027-04-15,,2026-11-19,,,2026-11-19,Paper,See source,projected,Historical cadence projection,https://www.ocxconf.org/event/2027/summary,,
srecon-americas-2027,SREcon Americas,USENIX SREcon Americas,USENIX,USENIX,Industry conference,Reliability,Other,"Seattle, WA, USA",In person,2027,,2027-04-12,2027-04-14,,2026-11-19,2026-12-12,2027-01-06,2026-11-19,Paper,See source,verified,Primary venue page,https://www.usenix.org/conference/srecon27americas/call-for-participation,,
aaai-workshops-2027,AAAI Workshops,AAAI-27 Workshop Program (participant paper submissions),AAAI (no proceedings; organisers choose),Other,Academic conference,AI,AI & machine learning,"Montreal, Canada",In person,2027,,2027-02-22,2027-02-23,,2026-11-20,2026-12-02,,2026-11-20,Paper,See source,verified,Primary venue page,https://aaai.org/conference/aaai/aaai-27/workshops-call/,,
icde-tutorials-2027,ICDE Tutorials,ICDE 2027 Tutorials,IEEE,IEEE,Academic conference,Databases|data engineering,Data & databases,"Copenhagen, Denmark",In person,2027,Scopus/DBLP/EI,2027-05-17,2027-05-21,,2026-11-20,2026-12-18,2027-03-01,2026-11-20,Paper,See source,verified,Primary venue page,https://icde2027.github.io/cf-tutorials.html,,
fabcon-2027,FabCon,FABCON & SQLCON (Microsoft Fabric Community Conference),Microsoft community,Other,Open-source meetup,Data Platform,Data & databases|Open source & community,"Atlanta, GA, USA",In person,2027,,2027-03-08,2027-03-12,,2026-11-22,,,2026-11-22,Paper,EST,verified,Primary venue page,https://sessionize.com/fabcon-2027-sqlcon-2027-sessions/,,
